TrialNumber,Hit,Miss,FalseAlarm,CorrectRejection,ShownDigit,Signal,Decision,TrialDuration,DigitStart,DigitEnd,DigitDuration,DecisionTimestamp,BlinkStart,BlinkEnd,BlinkDuration,RT
1,0,0,0,1,7,0,0,1.9834809303283691,0.004164218902587891,1.970992088317871,1.9668278694152832,0,1.970992088317871,1.987645149230957,0.016653060913085938,
2,0,0,0,1,2,0,0,1.9834198951721191,2.0042991638183594,3.9710140228271484,1.966714859008789,0,3.971015214920044,3.9877190589904785,0.01670384407043457,
3,0,0,0,1,7,0,0,1.9833869934082031,4.0043840408325195,5.971144199371338,1.9667601585388184,0,5.971145153045654,5.987771034240723,0.01662588119506836,
4,0,0,0,1,3,0,0,1.983429193496704,6.004451036453247,7.971213102340698,1.9667620658874512,0,7.971214056015015,7.987880229949951,0.016666173934936523,
5,0,0,0,1,4,0,0,1.9834048748016357,8.004531145095825,9.97121810913086,1.9666869640350342,0,9.971219062805176,9.987936019897461,0.016716957092285156,
6,0,0,0,1,7,0,0,1.9834721088409424,10.004570007324219,11.971371173858643,1.9668011665344238,0,11.971372127532959,11.988042116165161,0.01666998863220215,
7,1,0,0,0,4,1,1,1.9833910465240479,12.004719018936157,13.971394062042236,1.966675043106079,12.68850302696228,13.971394062042236,13.988110065460205,0.01671600341796875,0.683784008026123
8,0,0,0,1,3,0,0,1.983414888381958,14.004762172698975,15.971487998962402,1.9667258262634277,0,15.971489191055298,15.988177061080933,0.016687870025634766,
9,1,0,0,0,8,1,1,1.9834280014038086,16.004836082458496,17.97157621383667,1.9667401313781738,16.95533800125122,17.971577167510986,17.988264083862305,0.01668691635131836,0.9505019187927246
10,0,0,0,1,6,0,0,1.9834110736846924,18.004908084869385,19.97165822982788,1.966750144958496,0,19.97165822982788,19.988319158554077,0.01666092872619629,
11,0,0,0,1,7,0,0,1.9834508895874023,20.004942178726196,21.97172713279724,1.966784954071045,0,21.97172713279724,21.9883930683136,0.016665935516357422,
12,1,0,0,0,8,1,1,1.9834320545196533,22.005045175552368,23.9718120098114,1.9667668342590332,22.67221713066101,23.971813201904297,23.98847723007202,0.01666402816772461,0.6671719551086426
